Sample ID,Cruise ID,Station,Polymer,Depth_label,Depth(m),Timepoint,replicate_timepoint,incubation_time(hours),Date_inject,volume_inject_uL,Area,CO2_area_nmol,headspace_volume,CO2_in_bottle_umol,delta_13C,co2_average,co2_stdev,mean_delta_13C,sd_delta_13c
N2104194,PE480,st11,PP,D02,NA,t3,1,144,4/19/2021,50,3174.4,71.74,45,64.566,351.742,63.045,2.5646210246350227,350.54633333333334,4.474949869365387
N2104195,PE480,st11,PP,D02,NA,t3,2,144,4/19/2021,50,2954.1,66.76,45,60.084,345.595,63.045,2.5646210246350227,350.54633333333334,4.474949869365387
N2104196,PE480,st11,PP,D02,NA,t3,3,144,4/19/2021,50,3170.5,71.65,45,64.485,354.302,63.045,2.5646210246350227,350.54633333333334,4.474949869365387
N2104197,PE480,st11,PP,D01,NA,t3,2,144,4/19/2021,50,3352.4,75.76,45,68.184,341.08,48.624651,32.389906795160805,NA,NA
N2104198,ROOM AIR,-,-,-,-,-,-,-,4/22/2021,50,58.2,1.32,45,1.188,NA,1.188,NA,NA,NA
N2104236,PE480,st04,PE,-,NA,t0,1,NA,6/7/2021,50,3058.9,69.13,45,62.217,314.91,62.3592,2.193447902276233,301.1814,13.566062004133713
N2104237,PE480,st04,PE,-,NA,t0,2,NA,6/7/2021,50,3232.7,73.06,45,65.754,303.798,62.3592,2.193447902276233,301.1814,13.566062004133713
N2104239,PE480,st04,PE,-,NA,t0,3,NA,6/8/2021,50,2941,66.47,45,59.823,308.829,62.3592,2.193447902276233,301.1814,13.566062004133713
N2104240,PE480,st04,PE,-,NA,t0,4,NA,6/8/2021,50,3013.3,68.1,45,61.29,279.323,62.3592,2.193447902276233,301.1814,13.566062004133713
N2104241,PE480,st04,PE,-,NA,t0,5,NA,6/8/2021,50,3083.2,69.68,45,62.712,299.047,62.3592,2.193447902276233,301.1814,13.566062004133713
N2104244,PE480,st04,PE,D03,NA,t1,1,NA,6/8/2021,50,2964,66.99,45,60.291,141.311,62.418,2.0140772080533607,140.91633333333334,1.5160311122577101
N2104245,PE480,st04,PE,D03,NA,t1,2,NA,6/8/2021,50,3161,71.44,45,64.296,142.196,62.418,2.0140772080533607,140.91633333333334,1.5160311122577101
N2104246,PE480,st04,PE,D03,NA,t1,3,NA,6/8/2021,50,3080.8,69.63,45,62.667,139.242,62.418,2.0140772080533607,140.91633333333334,1.5160311122577101
N2104259,PE480,st04,PE,D03,NA,t2,1,NA,6/8/2021,50,3167.1,71.58,45,64.422,139.96,63.444,0.9068290908434711,155.488,20.617310008825104
N2104260,PE480,st04,PE,D03,NA,t2,2,NA,6/8/2021,50,3079.4,69.59,45,62.631,178.88,63.444,0.9068290908434711,155.488,20.617310008825104
N2104170,PE480,st04,background,-,NA,t3,1,144,4/16/2021,50,3049.8,68.93,45,62.037,0.615,68.832,10.47969135995903,0.3413333333333333,0.5456577071143899
N2104171,PE480,st04,background,-,NA,t3,2,144,4/16/2021,50,3124.8,70.62,45,63.558,0.696,68.832,10.47969135995903,0.3413333333333333,0.5456577071143899
N2104172,PE480,st04,background,-,NA,t3,3,144,4/16/2021,50,3977.3,89.89,45,80.901,-0.287,68.832,10.47969135995903,0.3413333333333333,0.5456577071143899
N2104176,PE480,st11,background,-,NA,t3,1,144,4/19/2021,50,3173.4,71.72,45,64.548,0.059,64.785,0.8051018569100443,1.072,2.350363163428154
N2104177,PE480,st11,background,-,NA,t3,2,144,4/19/2021,50,3229.4,72.98,45,65.682,3.759,64.785,0.8051018569100443,1.072,2.350363163428154
N2104178,PE480,st11,background,-,NA,t3,3,144,4/19/2021,50,3152.5,71.25,45,64.125,-0.602,64.785,0.8051018569100443,1.072,2.350363163428154
N2104227,PE480,st11,PE,-,NA,t0,1,0,6/7/2021,50,2974.9,67.23,45,60.507,149.562,60.321,1.6459012728593392,149.799,1.0998213491290285
N2104228,PE480,st11,PE,-,NA,t0,2,0,6/7/2021,50,3041.6,68.74,45,61.866,148.837,60.321,1.6459012728593392,149.799,1.0998213491290285
N2104229,PE480,st11,PE,-,NA,t0,3,0,6/7/2021,50,2880.5,65.1,45,58.59,150.998,60.321,1.6459012728593392,149.799,1.0998213491290285
N2104209,PE480,st11,PE,D01,NA,t1,1,24,6/7/2021,50,3146.7,71.12,45,64.008,337.458,63.702,1.278760337201617,214.62533333333334,106.39169246390122
N2104210,PE480,st11,PE,D01,NA,t1,2,24,6/7/2021,50,3063,69.22,45,62.298,155.024,63.702,1.278760337201617,214.62533333333334,106.39169246390122
N2104211,PE480,st11,PE,D01,NA,t1,3,24,6/7/2021,50,3185.8,72,45,64.8,151.394,63.702,1.278760337201617,214.62533333333334,106.39169246390122
